bin,mean_eci,min_eci,max_eci,evr1,evr2,n_models
1,95.6704231743008,56.74554080524355,109.47082871442306,1.0,1.1013972594477338e-32,36
2,115.45280392807436,111.05363979038955,119.4728884748374,0.9329095446266937,0.05175570996176577,35
3,123.92866299397676,119.6898649914116,128.7077890940348,0.8669572546693886,0.10866468573086706,35
4,132.48348047359636,129.19105735149728,136.5852952603417,0.6013674045654072,0.1902157261875495,34
5,139.40414641409322,136.67372600299365,140.80473869724742,0.47230663517749166,0.2771918723129517,35
6,142.0019537968551,141.10846370345223,142.96146590080863,0.6085260968614622,0.2451761439777886,36
7,144.3415702556113,143.13066707835165,145.28065460309054,0.40739760238038275,0.23317950254658723,31
8,149.07220937848336,146.2161106724776,153.8060795990362,0.7073043650869303,0.1215890945759704,40
