model,eci,chess_puzzles,swe_bench_verified,otis_mock_aime_2024_2025,gpqa_diamond,simpleqa_verified,math_level_5,frontiermath,frontiermath_tier_4
gpt-5.2-pro-2025-12-11-webapp,152.4182891569458,,,,,,,,0.292
fireworks/deepseek-v3p2,145.11291603938145,,,,,,,0.221,0.021
gemini-2.5-flash,141.4064565302525,,,,,,,0.0484429065743944,0.0416666666666666
gemini-3-flash-preview,152.5143955828333,0.38,,0.9277777777777778,0.8320707070707071,0.674,,0.356401384083045,0.0416666666666666
deepseek-reasoner,145.11291603938145,0.14,,0.878174603174603,0.8342352092352093,0.275,,,
openai/gpt-oss-120b_high,139.76129702790502,0.2,,0.8888888888888888,0.7575757575757576,0.139,,,
gpt-5.2-2025-12-11_xhigh,152.4182891569458,0.49,,0.961,0.914,0.389,,0.407,0.167
Qwen3-235B-A22B-Thinking-2507,145.28065460309054,0.1224489795918367,,0.8666666666666667,0.8005050505050505,0.501002004008016,,,
gpt-5.2-2025-12-11_high,152.4182891569458,0.4,,0.9611111111111112,0.8819444444444444,0.382,,0.4034482758620689,0.1458333333333333
gpt-5.2-2025-12-11_medium,152.4182891569458,0.4,,0.9388888888888888,0.8787878787878788,0.354,,0.3689655172413793,0.1458333333333333
gpt-5.2-2025-12-11_low,152.4182891569458,0.23,,0.7888888888888889,0.827020202020202,0.347,,0.2655172413793103,0.0625
Qwen/Qwen3-235B-A22B-Thinking-2507,145.28065460309054,,,,,,,0.0848056537102473,0.0
qwen3-max-2025-09-23,145.2734899249661,0.04,,0.7333333333333333,0.726010101010101,0.6746746746746747,0.9712990936555892,,
kimi-k2-thinking-turbo,145.09977073063365,0.2,,0.8305555555555556,0.8421717171717171,0.316,,,
claude-sonnet-4-5-20250929_59K,146.444110081093,,,0.7777777777777778,0.8232323232323232,0.236,,0.1349480968858131,
gpt-5.1-2025-11-13_high,150.2224893574465,0.32,,0.8861111111111111,0.8762626262626263,0.489,,0.3103448275862069,0.125
claude-opus-4-1-20250805_27K,143.8931899812305,,,0.6888888888888889,0.7676767676767676,0.348,,0.0724137931034482,0.0416666666666666
gpt-5-mini-2025-08-07_high,144.26124416881186,,0.616,0.8666666666666667,0.75,0.21,0.978474320241692,0.2724137931034482,0.0625
claude-haiku-4-5-20251001_32K,140.55933670602477,,,0.6666666666666666,0.7121212121212122,0.059,0.9636087945413192,0.0590277777777777,0.0208333333333333
o4-mini-2025-04-16_high,144.9937806547,0.26,,0.8166666666666667,0.7960858585858586,0.239,0.978285498489426,0.2482758620689655,0.0625
claude-opus-4-5-20251101_32K,149.86957925424835,0.12,,0.8611111111111112,0.860479797979798,0.418,,0.2068965517241379,0.0416666666666666
o3-2025-04-16_high,146.78941750366135,,,0.8388888888888889,0.8181818181818182,0.53,0.9777190332326284,0.1868512110726643,0.0208333333333333
gpt-5-nano-2025-08-07_high,139.88559456998084,,,0.8111111111111111,0.6944444444444444,0.122,0.9490181268882176,0.0827586206896551,0.0
grok-3-mini-beta_high,140.80473869724742,,,0.7777777777777778,0.7462121212121212,0.211,0.8806646525679759,0.0586206896551724,
gpt-5-2025-08-07_high,150.0,0.37,,0.9138888888888888,0.8617424242424242,0.506,0.9813066465256798,0.3241379310344827,0.125
moonshotai/Kimi-K2-Thinking,145.09977073063365,,,,,,,0.2140350877192982,0.0
grok-4-0709,147.41867399925533,0.3506493506493506,,0.84,0.87,0.479,,0.196551724137931,0.0208333333333333
claude-sonnet-4-5-20250929,146.444110081093,,0.648,0.3555555555555555,0.7373737373737373,0.13,,0.093103448275862,0.0208333333333333
gemini-2.5-pro,146.2161106724776,0.2,,0.8416666666666667,0.8529040404040404,0.56,,0.1413793103448276,0.0416666666666666
DeepSeek-R1-0528,141.8435994095166,,0.3326653306613226,0.6638888888888889,0.7632575757575758,0.274,0.9663897280966768,,
gemini-3-pro-preview,153.8060795990362,0.31,,0.9138888888888888,0.9261363636363636,0.729,,0.376,0.1875
claude-sonnet-4-5-20250929_32K,146.444110081093,0.12,,0.7777777777777778,0.817258883248731,,0.9773413897280968,0.1522491349480969,0.0416666666666666
o3-mini-2025-01-31_high,141.10846370345223,0.17,,0.7694444444444445,0.7702020202020202,,0.9648791540785498,0.1241379310344827,0.0416666666666666
claude-3-5-haiku-20241022,127.59587767522729,,,0.0430555555555555,0.3813131313131313,0.067,0.4635574018126888,0.0034482758620689,
gpt-5.1-2025-11-13_none,150.2224893574465,,,,,,,0.0209790209790209,
gpt-5.1-2025-11-13_low,150.2224893574465,,,0.6388888888888888,,,,0.1730103806228373,
claude-opus-4-5-20251101,149.86957925424835,,,0.4805555555555555,0.8068181818181818,,,0.2068965517241379,0.0416666666666666
claude-opus-4-5-20251101_16K,149.86957925424835,,,0.8166666666666667,0.8547979797979798,,,0.2034482758620689,0.0208333333333333
gpt-5.1-2025-11-13_medium,150.2224893574465,,,0.8555555555555555,0.8503787878787878,,,0.2689655172413793,0.0416666666666666
o3-2025-04-16_low,146.78941750366135,,,,,,,0.0972222222222222,
o3-2025-04-16_medium,146.78941750366135,,0.43687374749499,,,,,0.1689655172413793,
o4-mini-2025-04-16_low,144.9937806547,,,,,,,0.1068965517241379,
o4-mini-2025-04-16_medium,144.9937806547,,0.346,,,,,0.1896551724137931,0.0208333333333333
gpt-5-mini-2025-08-07_medium,144.26124416881186,,0.578,0.7833333333333333,0.7165404040404041,,0.9679003021148036,0.2034482758620689,0.0416666666666666
gpt-5-2025-08-07_medium,150.0,,0.588,0.8722222222222222,0.8535353535353535,,0.9792296072507553,0.2724137931034482,0.0625
claude-sonnet-4-5-20250929_16K,146.444110081093,,,0.7111111111111111,0.7878787878787878,,,,
gpt-4-0613,122.0867472996693,,,0.0111111111111111,0.3065025252525252,,0.2297016616314199,,
gpt-4-0314,126.07402344192556,,,0.0055555555555555,0.3573232323232323,,,,
claude-haiku-4-5-20251001,140.55933670602477,,0.606,0.3583333333333333,0.6047979797979798,,0.8691465256797583,0.0413793103448275,
gpt-5-pro-2025-10-06_high,150.33905005272666,,,,,,,,0.125
DeepSeek-V3.1,138.64063236202222,,0.5210420841683366,,,,,,
gpt-5-nano-2025-08-07_medium,139.88559456998084,,,0.7416666666666667,0.6742424242424242,,0.952416918429003,0.0724137931034482,0.0208333333333333
gpt-4o-2024-11-20,130.02827257640743,,0.254,0.0625,0.4788510101010101,,0.4977341389728096,0.0034482758620689,
claude-opus-4-20250514_27K,143.13066707835165,,,0.6444444444444445,,,,0.0413793103448275,0.0416666666666666
claude-opus-4-1-20250805,143.8931899812305,,0.632,0.4,0.7323232323232324,,,0.0586206896551724,
claude-opus-4-1-20250805_16K,143.8931899812305,,,0.6444444444444445,0.7727272727272727,,,,
gpt-4o-mini-2024-07-18,127.3382700536105,,,0.0694444444444444,0.3772095959595959,,0.5263406344410876,,
claude-opus-4-20250514,143.13066707835165,,0.622,0.4222222222222222,0.6919191919191919,,0.850453172205438,0.0448275862068965,0.0
claude-sonnet-4-20250514,142.3786561400816,,0.606,0.2888888888888888,0.6666666666666666,,0.8436555891238671,0.0413793103448275,0.0
gemini-2.5-pro-preview-06-05,146.2161106724776,,,,0.8484848484848485,,,0.1034482758620689,0.0208333333333333
gpt-4.1-2025-04-14,137.5095823764539,,0.41,0.3833333333333333,0.6691919191919192,,0.8300604229607251,0.0551724137931034,0.0
claude-3-5-sonnet-20241022,134.2126503179005,,0.406,0.0847222222222222,0.553030303030303,,0.5694864048338368,0.0206896551724137,0.0
claude-3-5-sonnet-20240620,130.0,,0.32,0.0652777777777777,0.5404040404040404,,0.5168051359516617,0.0103448275862068,0.0
claude-sonnet-4-20250514_59K,142.3786561400816,,,0.6888888888888889,0.7781991873045173,,,,
claude-3-7-sonnet-20250219_64K,141.67851910714836,,,0.5777777777777777,0.7850378787878788,,0.9116314199395772,0.0310344827586206,
grok-3-beta,138.86246137862287,,0.386,0.5555555555555556,0.6758207070707071,,0.8874622356495468,0.0379310344827586,0.0
qwen3-235b-a22b,139.47262600889832,,,,0.7070707070707071,,0.6885699899295065,,
gemini-2.5-pro-preview-05-06,142.63009648123537,,,,0.6666666666666666,,0.959025679758308,,
DeepSeek-R1,139.45541404460803,,,0.5333333333333333,0.6922348484848484,,0.9305135951661632,,
claude-sonnet-4-20250514_32K,142.3786561400816,,,0.7111111111111111,0.7828282828282829,,,,
claude-opus-4-20250514_16K,143.13066707835165,,,0.6,0.7626262626262627,,,,
claude-sonnet-4-20250514_16K,142.3786561400816,,,0.5333333333333333,0.7575757575757576,,,,
gemini-2.5-flash-preview-05-20,142.01240586997562,,,0.7083333333333334,,,,,
qwen-plus-2025-04-28,131.0447378036277,,0.28,,,,,0.0172413793103448,
o3-mini-2025-01-31_medium,141.10846370345223,,0.378,0.6388888888888888,0.742739898989899,,0.9516616314199396,0.0808189655172413,
DeepSeek-V3-0324,136.67372600299365,,,0.3777777777777777,0.6761363636363636,,0.75547583081571,,
gemini-2.5-pro-preview-03-25,144.22445062349664,,,,,,0.9556268882175226,,
mistral-medium-2505,135.05014538391168,,,0.3222222222222222,0.5953282828282829,,0.8162764350453172,0.0034602076124567,
gpt-4.1-mini-2025-04-14,135.4435967525866,,0.328,0.4472222222222222,0.6584595959595959,,0.8729229607250756,0.0448275862068965,
gemini-2.0-flash-001,135.0852276186363,,0.22,0.3111111111111111,0.6414141414141414,,0.8216578549848943,0.0172413793103448,
grok-3-mini-beta_low,140.80473869724742,,0.152,0.6222222222222222,0.7626262626262627,,0.9093655589123868,0.0275862068965517,
