bin,mean_eci,min_eci,max_eci,evr1,n_models,pct_real_data
1,117.51321390320993,111.30765367643214,121.25677071827704,0.8814539286392923,20,83.33333333333334
2,126.52220464981853,121.5449134111022,130.0,0.8614482715920765,20,95.0
3,132.7693088970544,130.02827257640743,136.09543782218225,0.7340058269678801,19,96.49122807017544
4,139.08940130028628,136.5852952603417,141.10846370345223,0.8542166497109064,18,96.29629629629629
5,143.1473346095981,141.67851910714836,145.2734899249661,0.8801336166367687,23,84.05797101449275
6,149.4061259709594,145.28065460309054,153.8060795990362,0.9370699849889259,21,73.01587301587301
