metric,value
slope,0.0016960991075756352
intercept,0.629520173958332
r2,0.08529983484880099
mse,0.0034595160914016286
correlation,0.2920613545966002
correlation_p_value,0.5743643607615032
n_bins,6.0
n_benchmarks,3.0
avg_pct_real_data,88.03245028836182
