bin,mean_eci,min_eci,max_eci,evr1,evr2,n_models,bin_width
3,88.05952746479743,82.22890123786894,92.59197678875418,1.0,0.0,11,12.132567349224075
4,100.22141541260078,93.22785770559544,104.50383528247636,1.0,1.207764593075607e-32,17,12.132567349224075
5,112.55468863078912,105.51520836420902,117.09274397811625,0.9446118507434021,0.04515467763570188,29,12.13256734922409
6,123.01312146764609,117.4974441018528,129.43221393758552,0.7900755359102972,0.1867972728587216,51,12.13256734922409
7,136.67866100104195,130.0,141.4064565302525,0.44015321210381386,0.2673007062665196,69,12.132567349224075
8,145.48364603989762,141.67851910714836,153.8060795990362,0.5870133436191395,0.17378985713243586,103,12.132567349224075
